SCHOOL_YEAR,DISTRICT,NEW_KINDERGARTEN,GRADUATES,NET
2013,05,409,-123,286
2014,05,404,-144,260
2015,05,406,-137,269
2016,05,391,-161,230
2017,05,381,-148,233
2018,05,392,-162,230
2013,06,246,-411,-165
2014,06,259,-417,-158
2015,06,255,-414,-159
2016,06,225,-450,-225
2017,06,249,-412,-163
2018,06,244,-429,-185
2013,08,334,-224,110
2014,08,337,-242,95
2015,08,286,-226,60
2016,08,316,-207,109
2017,08,287,-207,80
2018,08,312,-190,122
2013,10,30,-320,-290
2014,10,31,-332,-301
2015,10,25,-332,-307
2016,10,24,-368,-344
2017,10,23,-391,-368
2018,10,39,-302,-263
2013,19,64,-39,25
2014,19,77,-23,54
2015,19,63,-30,33
2016,19,83,-40,43
2017,19,67,-30,37
2018,19,107,-34,73
2013,20,285,-77,208
2014,20,233,-67,166
2015,20,256,-59,197
2016,20,325,-70,255
2017,20,286,-68,218
2018,20,304,-71,233
2013,22,565,-310,255
2014,22,605,-351,254
2015,22,550,-304,246
2016,22,570,-279,291
2017,22,587,-314,273
2018,22,590,-301,289
2013,23,1562,-568,994
2014,23,1559,-616,943
2015,23,1518,-597,921
2016,23,1573,-601,972
2017,23,1497,-608,889
2018,23,1648,-607,1041
2013,27,331,-1988,-1657
2014,27,324,-2043,-1719
2015,27,312,-1870,-1558
2016,27,315,-1933,-1618
2017,27,345,-1783,-1438
2018,27,343,-1910,-1567
2013,28,239,-361,-122
2014,28,230,-330,-100
2015,28,220,-334,-114
2016,28,204,-334,-130
2017,28,203,-334,-131
2018,28,188,-339,-151
2013,33,910,-347,563
2014,33,941,-296,645
2015,33,881,-262,619
2016,33,907,-289,618
2017,33,939,-205,734
2018,33,987,-223,764
2013,34,1403,-1083,320
2014,34,1452,-1029,423
2015,34,1454,-1020,434
2016,34,1515,-1062,453
2017,34,1433,-1031,402
2018,34,1484,-1164,320
2013,35,1367,-1579,-212
2014,35,1448,-1555,-107
2015,35,1410,-1509,-99
2016,35,1536,-1511,25
2017,35,1497,-1499,-2
2018,35,1485,-1515,-30
2013,36,5100,-1450,3650
2014,36,4903,-1355,3548
2015,36,4885,-1291,3594
2016,36,5014,-1402,3612
2017,36,5166,-1433,3733
2018,36,5055,-1444,3611
2013,37,1002,-5414,-4412
2014,37,1011,-5248,-4237
2015,37,1020,-5329,-4309
2016,37,1014,-5109,-4095
2017,37,982,-5196,-4214
2018,37,978,-5217,-4239
2013,38,1380,-1278,102
2014,38,1362,-1253,109
2015,38,1287,-1282,5
2016,38,1256,-1165,91
2017,38,1452,-1140,312
2018,38,1375,-1134,241
2013,39,3787,-1933,1854
2014,39,3723,-1801,1922
2015,39,3559,-1700,1859
2016,39,3654,-1564,2090
2017,39,3626,-1599,2027
2018,39,3477,-1546,1931
2013,40,499,-4395,-3896
2014,40,590,-4151,-3561
2015,40,557,-3953,-3396
2016,40,559,-3997,-3438
2017,40,543,-3931,-3388
2018,40,580,-3746,-3166
2013,41,1727,-406,1321
2014,41,1665,-416,1249
2015,41,1641,-409,1232
2016,41,1729,-361,1368
2017,41,1815,-404,1411
2018,41,1705,-427,1278
2013,42,1037,-2001,-964
2014,42,1045,-1952,-907
2015,42,1067,-2026,-959
2016,42,1034,-1932,-898
2017,42,1124,-1950,-826
2018,42,1122,-1912,-790
2013,43,2081,-1077,1004
2014,43,2250,-976,1274
2015,43,2115,-1051,1064
2016,43,2007,-1166,841
2017,43,2111,-1084,1027
2018,43,2052,-1069,983
2013,44,1105,-2791,-1686
2014,44,1082,-2553,-1471
2015,44,1138,-2645,-1507
2016,44,1087,-2645,-1558
2017,44,1170,-2665,-1495
2018,44,1078,-2588,-1510
2013,45,375,-1281,-906
2014,45,412,-1119,-707
2015,45,372,-1158,-786
2016,45,379,-1132,-753
2017,45,388,-1166,-778
2018,45,384,-1110,-726
2013,46,237,-629,-392
2014,46,228,-605,-377
2015,46,217,-587,-370
2016,46,242,-611,-369
2017,46,238,-677,-439
2018,46,241,-668,-427
2013,47,143,-247,-104
2014,47,131,-227,-96
2015,47,140,-231,-91
2016,47,140,-228,-88
2017,47,122,-211,-89
2018,47,155,-185,-30
2013,48,385,-158,227
2014,48,380,-123,257
2015,48,397,-96,301
2016,48,431,-74,357
2017,48,398,-129,269
2018,48,450,-100,350
2013,49,26,-310,-284
2014,49,7,-286,-279
2015,49,20,-332,-312
2016,49,18,-300,-282
2017,49,10,-376,-366
2018,49,15,-320,-305
2013,50,31,-15,16
2014,50,28,-14,14
2015,50,32,-12,20
2016,50,38,-12,26
2017,50,30,-9,21
2018,50,16,-12,4
2013,51,76,-48,28
2014,51,71,-39,32
2015,51,82,-52,30
2016,51,85,-39,46
2017,51,88,-53,35
2018,51,81,-30,51
2013,52,146,-90,56
2014,52,147,-75,72
2015,52,158,-79,79
2016,52,121,-85,36
2017,52,142,-89,53
2018,52,124,-90,34
2013,53,172,-146,26
2014,53,124,-162,-38
2015,53,138,-165,-27
2016,53,170,-137,33
2017,53,145,-113,32
2018,53,153,-154,-1
2013,54,144,-194,-50
2014,54,156,-193,-37
2015,54,144,-183,-39
2016,54,129,-186,-57
2017,54,128,-184,-56
2018,54,130,-191,-61
2013,57,953,-189,764
2014,57,1002,-207,795
2015,57,947,-153,794
2016,57,957,-162,795
2017,57,957,-170,787
2018,57,973,-143,830
2013,58,137,-1037,-900
2014,58,130,-1040,-910
2015,58,147,-1013,-866
2016,58,147,-1051,-904
2017,58,142,-1048,-906
2018,58,136,-941,-805
2013,59,261,-140,121
2014,59,242,-145,97
2015,59,287,-154,133
2016,59,276,-142,134
2017,59,262,-149,113
2018,59,282,-139,143
2013,60,507,-273,234
2014,60,518,-272,246
2015,60,489,-271,218
2016,60,471,-227,244
2017,60,507,-254,253
2018,60,519,-231,288
2013,61,1411,-264,1147
2014,61,1415,-242,1173
2015,61,1446,-346,1100
2016,61,1435,-303,1132
2017,61,1469,-330,1139
2018,61,1503,-355,1148
2013,62,751,-1368,-617
2014,62,743,-1379,-636
2015,62,768,-1359,-591
2016,62,757,-1197,-440
2017,62,846,-1307,-461
2018,62,831,-1353,-522
2013,63,408,-455,-47
2014,63,385,-448,-63
2015,63,423,-500,-77
2016,63,389,-560,-171
2017,63,474,-569,-95
2018,63,448,-587,-139
2013,64,107,-511,-404
2014,64,114,-484,-370
2015,64,132,-470,-338
2016,64,109,-432,-323
2017,64,109,-466,-357
2018,64,105,-495,-390
2013,67,348,-141,207
2014,67,377,-157,220
2015,67,354,-124,230
2016,67,350,-123,227
2017,67,351,-116,235
2018,67,373,-122,251
2013,68,985,-548,437
2014,68,1015,-439,576
2015,68,978,-519,459
2016,68,1050,-514,536
2017,68,1023,-516,507
2018,68,1063,-521,542
2013,69,291,-957,-666
2014,69,250,-916,-666
2015,69,262,-962,-700
2016,69,278,-844,-566
2017,69,279,-829,-550
2018,69,301,-899,-598
2013,70,253,-253,0
2014,70,271,-224,47
2015,70,271,-306,-35
2016,70,279,-254,25
2017,70,219,-281,-62
2018,70,259,-250,9
2013,71,528,-303,225
2014,71,497,-303,194
2015,71,549,-263,286
2016,71,613,-314,299
2017,71,620,-288,332
2018,71,600,-273,327
2013,72,398,-613,-215
2014,72,388,-465,-77
2015,72,380,-518,-138
2016,72,419,-422,-3
2017,72,365,-455,-90
2018,72,414,-477,-63
2013,73,962,-412,550
2014,73,1078,-401,677
2015,73,982,-405,577
2016,73,1056,-418,638
2017,73,1090,-452,638
2018,73,1040,-401,639
2013,74,81,-1293,-1212
2014,74,77,-1280,-1203
2015,74,84,-1204,-1120
2016,74,70,-1171,-1101
2017,74,90,-1115,-1025
2018,74,68,-1099,-1031
2013,75,450,-71,379
2014,75,445,-72,373
2015,75,473,-80,393
2016,75,462,-67,395
2017,75,467,-63,404
2018,75,465,-60,405
2013,78,129,-383,-254
2014,78,113,-360,-247
2015,78,102,-355,-253
2016,78,126,-362,-236
2017,78,100,-349,-249
2018,78,109,-366,-257
2013,79,515,-139,376
2014,79,498,-103,395
2015,79,513,-102,411
2016,79,562,-100,462
2017,79,531,-98,433
2018,79,615,-119,496
2013,81,66,-536,-470
2014,81,67,-546,-479
2015,81,49,-567,-518
2016,81,60,-455,-395
2017,81,57,-505,-448
2018,81,47,-599,-552
2013,82,325,-69,256
2014,82,319,-39,280
2015,82,257,-62,195
2016,82,272,-44,228
2017,82,279,-46,233
2018,82,313,-38,275
2013,83,427,-368,59
2014,83,402,-344,58
2015,83,435,-390,45
2016,83,444,-318,126
2017,83,424,-279,145
2018,83,444,-262,182
2013,84,24,-532,-508
2014,84,22,-510,-488
2015,84,32,-475,-443
2016,84,33,-456,-423
2017,84,23,-449,-426
2018,84,17,-506,-489
2013,85,95,-30,65
2014,85,85,-28,57
2015,85,78,-24,54
2016,85,92,-34,58
2017,85,79,-27,52
2018,85,75,-50,25
2013,87,11,-115,-104
2014,87,13,-82,-69
2015,87,14,-79,-65
2016,87,9,-85,-76
2017,87,12,-88,-76
2018,87,9,-96,-87
2013,91,278,-12,266
2014,91,253,-16,237
2015,91,264,-8,256
2016,91,214,-16,198
2017,91,240,-11,229
2018,91,203,-9,194
2013,92,39,-286,-247
2014,92,40,-256,-216
2015,92,34,-308,-274
2016,92,26,-271,-245
2017,92,28,-236,-208
2018,92,30,-287,-257
2013,93,602,-31,571
2014,93,637,-22,615
2015,93,586,-9,577
2016,93,622,-15,607
2017,93,639,-24,615
2018,93,635,-19,616
2013,99,38540,-42919,-4379
2014,99,38611,-42641,-4030
2015,99,37942,-40767,-2825
2016,99,38667,-40722,-2055
2017,99,39152,-39790,-638
2018,99,39173,-39974,-801
