DISTRICT,School_Year,DEMOGRAPHICS,MIGRATION,RETENTION,INDEPENDENT,FORECAST_ENROLMENT
05,2014,-7,41.6,-22.5,-0.9,5170.9
05,2015,-11,51.1,31.5,96.4,5338.9
05,2016,-23,27,22.1,49.3,5414.3
05,2017,-69,44.6,11.8,47.3,5448.9
05,2018,-19.6,23,6.4,85.6,5544.3
05,2019,-37.8,-15.1,3.9,62.6,5557.9
05,2020,-23.2,-12.1,4,62.6,5589.2
05,2021,-24.1,-20.3,2.6,62.6,5610.1
05,2022,16.4,-20.2,5.8,62.6,5674.8
06,2014,34.6,-16.5,-3.9,-5.3,3008.8
06,2015,12.6,22.1,3.3,22.6,3069.3
06,2016,-1.2,32.9,1.2,14,3116.2
06,2017,41.6,38.5,-23,15.5,3188.8
06,2018,36.8,60,-43.6,26.6,3268.5
06,2019,50.9,49.6,-26.9,19.4,3361.4
06,2020,39.3,51.7,-30,19.4,3441.7
06,2021,63.2,46.2,-30.9,19.4,3539.6
06,2022,27,46.3,-33.2,19.4,3599
08,2014,16.7,-0.5,-44.3,-12,4682.3
08,2015,-46.1,87.9,-115.3,26.4,4635.1
08,2016,-16,123.8,-34.8,58.6,4766.8
08,2017,-80.8,46.4,-36.1,76.6,4772.9
08,2018,-79.1,13.6,-83,58,4682.4
08,2019,4.9,20.7,-46.8,67.2,4728.5
08,2020,-5.7,23.5,-53.1,67.2,4760.4
08,2021,-50,16.3,-57.8,67.2,4736.1
08,2022,-17.8,16.4,-53.7,67.2,4748.2
10,2014,-8,-9.1,3,3.1,457.4
10,2015,1.9,-11.5,-5.9,-1.6,440.4
10,2016,-6,4.8,3.9,-1,442.1
10,2017,-17.1,7.4,0,3,435.3
10,2018,9.3,12.6,2.9,-3.8,456.4
10,2019,-5.1,17.7,4.6,-0.5,473.1
10,2020,-0.7,18.1,-0.6,-0.5,489.4
10,2021,-9.8,17.2,0.8,-0.5,497.1
10,2022,-9.7,17.2,2.1,-0.5,506.2
19,2014,-0.1,-8.8,-6.2,-6,927.3
19,2015,-3.7,13.6,-11.3,-2,923.9
19,2016,24.3,14.3,1.3,-8.4,955.3
19,2017,-2.5,14,2.4,0.5,969.6
