Abbrev,District,SD05,SD06,SD08,SD10,SD19,SD20,SD22,SD23,SD27,SD28,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,SD41,SD42,SD43,SD44,SD45,SD46,SD47,SD48,SD49,SD50,SD51,SD52,SD53,SD54,SD57,SD58,SD59,SD60,SD61,SD62,SD63,SD64,SD67,SD68,SD69,SD70,SD71,SD72,SD73,SD74,SD75,SD78,SD79,SD81,SD82,SD83,SD84,SD85,SD87,SD91,SD92,SD93
SD05,Southeast Kootenay,0,21.125,25.125,0,1,9.25,4.125,14.125,0,0,0.5,1,4.125,3,0,1,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2,3,1.375,4,0,3,1,1,0,4,1,0,0,2,2,0,0,1,0,0,0,0,2,0,0,0,1,0,0
SD06,Rocky Mountain,36.375,0,7.375,0,0,2,7,2,3.875,1,1,1,0,3,0,0,1,0,1,1,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,2,2.25,0,0,0,0,1,0,0,4.375,0,5.75,1,0,2,0,0,2,1,0,0,0,6,0,0
SD08,Kootenay Lake,9.25,7.375,0,4,0,37,2,9.875,0,1,3.125,0,0,3,0,0,3.125,3,3,0,2,3,0,0,0,0,0,0,4,0,0,0,1,6.25,0,6,5,2.5,2.875,3,7,3,1,0,2.125,3,4.125,0,4,0,4,0,0.625,3,0,0,0,1.5,0,3
SD10,Arrow Lakes,0,0,6.5,0,0,6,2,0,0,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.125,0,0,3,0,0,0,0,0,0,0,7,0,0,0,1,0,0
SD19,Revelstoke,0,3,1,0,0,1,7,1,1,0,1,6,0,0.625,1,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7.75,1,0,1.25,0,0,0,1,2,0,0,0,1,3.125,0,0,0,0,0,0,3,0,0,0,0,0,4
SD20,Kootenay - Columbia,3,0.75,36.75,0,0,0,4,9,0,0,0,0,0,4,0,0,0,0,0,0,3,2,1,0,0,1,0,0,3,0,2.875,0,1,0.875,1,0,2.125,0,2,1,5,0,1,0,3,3,3,0,2,0,0,1,1,0,0,0,0,2.25,0,0
SD22,Vernon,3,3,7,4,5,6,0,48.125,3,3,5,4.75,1,4,1,0,4,0.25,0,3,0,1,0,0,1.875,2,0,0,4,0,4.25,0,6.875,9.5,0,12.5,4.375,2,7,0,2,0,1,0,2,3.75,19.875,0.75,0,1,0,0,0,40,0,0,0,3.25,0,0
SD23,Central Okanagan,6.375,4,11.375,6,3,9.125,59.625,0,14.1875,4,11.875,16,14.5,17,2,5,19.75,0.5,6.125,1,9.25,5,2.9375,1.875,0,3.625,0,0,15,1,14.125,3,15.5,11.125,2,14.25,8,5,2.375,0,34,7.25,2,3,4.875,2,21.625,4,3,3,8,0,5,18.75,0,0,2,13.625,0,3.5
SD27,Cariboo - Chilcotin,2,0,1,0,1,3,11,10,0,15,8,8,1,8,0,3,4,0,4,0,2,2,1,2,1,0,1,0,2,2,0,0,18.125,8,8,7,3,1,1,0,6,0,1,0,2,0,56.1875,10,1.875,5,7,0,3,11.125,0,0,0,8,0,0
SD28,Quesnel,4,1,1,0,0,0,6,3,16.125,0,3,1,1,11,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,3,50,0,0,4,0,1,0,1,6,0,0,0,3,0,11.25,0,4,1,1,0,1,10,0,0,0,15.875,0,0
SD33,Chilliwack,4,2,3,0,2,0,5.9375,12,5,1,0,66.875,38.125,36.625,7.875,7.375,11.75,1,2.25,13.5625,13,6,0,6,5.9375,3,0,0,0,1,1,0,7,6,4,3.125,3,6,1,1,2,2.9375,2,1,4.25,0,10,6,16,32.75,7,0,0,5.5,0,0,0,15,0,3
SD34,Abbotsford,4,0,1,0,0,0,4,10,6.125,5,92,0,105.625,80.75,4.25,0,16.375,8.875,10,26.125,15,2,0,2,3,1,0,0,5,2,4,0,3,7.125,4,9.0625,2.5,1,2,1,11,5,3,5,2,3.125,14,0,82,13.125,3,0,1,7,0,0,0,18.625,0,2
SD35,Langley,3,1,0.9063,0,0,2,2.125,14.625,4.875,4,49.25,109.125,0,219.0625,17,8,14.875,5,17.125,26.875,17,2,0,2,1,3,0,0,0,0,8,0,9,2,0,2.9375,7,0,3.75,2,6.875,8,2.875,2.125,4.875,5,10,1,20.6563,1,0,0,1,2,0,0,0,8.5,0,2
