Abbrev,District,SD05,SD06,SD08,SD10,SD19,SD20,SD22,SD23,SD27,SD28,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,SD41,SD42,SD43,SD44,SD45,SD46,SD47,SD48,SD49,SD50,SD51,SD52,SD53,SD54,SD57,SD58,SD59,SD60,SD61,SD62,SD63,SD64,SD67,SD68,SD69,SD70,SD71,SD72,SD73,SD74,SD75,SD78,SD79,SD81,SD82,SD83,SD84,SD85,SD87,SD91,SD92,SD93,total_move_in,total_move_out
SD05,Southeast Kootenay,0,22,16.75,3,0,6.5,5,3,3,0,0,0,0,2,1,3,0,1,0.875,1.125,0,0,1,3,0,1,0,1,1,0,0,1,4,0,2,0,2.125,1,1,0,0,7.25,0,0,1,3,3,0,0,0,1,0,3,6,0,0,0,3,0,3,116.625,120.75
SD06,Rocky Mountain,17.375,0,7.125,0,0,3,0,1,1,1.125,1.375,1,4.5,7,2,0,0,0,0,1,1,0,0,2,0,1,2,0,0,0.875,0,2,0,1,3,3.125,0,1.5,0,0,0,1,0,4,0,0,5,1,0,2,0,2,0,0,2,0,0,4,0,0,86,87.25
SD08,Kootenay Lake,16,8,0,3.125,0,43.25,4.125,12,0,1,0,0,0,26.125,2,3.75,13.875,1.5,4.5,0,2.25,3,0,2,0,2,0,0,3,0,2,1,3,1,0,1,0,0,1,1.75,4,0,0,0,3,0,2,0,0,0,0,0,1,5,0,0,0,3,0,9,189.25,135
SD10,Arrow Lakes,0,0,1.625,0,0,2,0,1,0,4,1,0,0,0,0,0,0.75,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,19.375,29.125
SD19,Revelstoke,0,1,1,4,0,0,1.5,2.125,2,0,0,1,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,3,37.625,37.125
SD20,Kootenay - Columbia,1,7,28.5,0,0,0,2,17,2,1,0,1,0,5,1,1,2,0,0,1,1,3,0,1,2,0,0,0,6,1,1,1,3,0.875,2,1,0,0,2,0,1,2,0,1,1,0,2,0,0,0,0,0,0,1.125,0,0,0,2,0,11,115.5,111.375
SD22,Vernon,6,1,4.75,2.75,2,4,0,56.625,7,0.125,2,5,4,15,6,3,6,2,1,9,3,4,2,1,0,1.125,0,0,1.875,0,3,4.125,7,5,8.125,9.75,1,0,4,0,5,2,0,1,0,0,22,0,1,2,1,3.25,5.625,63.5,0,3,0,4,0,2,307.625,255.0625
SD23,Central Okanagan,7,3.125,14,2,6.25,3,53.5,0,10,6.25,10.0625,18.125,28,47,30,4,21,2,13.75,14,26.125,19,0,0,0.625,5.375,2,3,7.625,6,15,4,18,6,4,27.3125,3.125,3,6,0,52,11.625,4,0,4,4,23.375,0,7.125,0,7,0,2,19.125,0,0,0,6,0,13,602.5,460.875
SD27,Cariboo - Chilcotin,1,0,1,0,0,0,6,3,0,13,17.0938,5,2,12,3,3,2.875,0,1,6,5,2,0,0,1,4,2,3,2,0,1,5,17.25,3,3,4,1.125,3,0,1.25,2,1,0,0,0,0,26,1,8,10,0,3.25,2,5,0,1,0,6.5,0,0,199.3438,174.5
SD28,Quesnel,2,0,0,1,0,0,4,3,14,0,4,8,0,8,2,0,4,0,2,0,2,0,0,4,0,0,1,0,0,1,0,0,9,2,1.125,8,0,0,0,0,2,1,0,1,1,0,9,1,2,0,0,0,2,3.25,0,0,0,3,0,0,105.375,105
SD33,Chilliwack,2,0,2,0,0,3.125,5.375,11.375,5,3,0,144.375,97.875,119.25,32.5,12.0625,26.75,8,14,27.5,40.375,8.125,0,5,0,6.125,0,0,0,0,5,1,5,4,4,6.9375,1,3,0,2.125,4.875,8,2,0,1.125,1,16.5,2,34.625,52.25,1,0,0,4.875,0,0,0,6.75,0,6,746.875,414.6251
SD34,Abbotsford,0,3.25,2,0,1,0,12.1875,11,1,2,78.0625,0,112.75,205.5,20.125,5,10,5.75,13.125,33.75,15.125,10,0,2,1,4,0,0,0,0,4,5,3,0,3.125,2,6.25,0.5,5,0,1,2,1,2,0,1,13.125,0,71.375,11,2,2,1,2.0313,0,0,0,4,0,3,694.0313,634.875
SD35,Langley,6.125,0,0,0,0,0,1.625,10.5,2,0,21.625,123.75,0,388.5625,37.875,39.8125,31.5,26,65.875,27.875,104.5,5.875,2,3,0,2,0,0,0,0,2,2,12,0,3,3.25,8,1.5,2,1,2,3.875,2,1,1,0,10,1,11,0,0,0,4,0,0,0,0,3.375,0,10,984.5,746.9375
SD36,Surrey,2,5,1.75,0,0,0,5,23,9,2,27.8125,79.125,211.125,0,209,196.125,252.25,62.875,205.625,39.25,91.625,19.875,4,13.1875,3,7,0,2,0,2,4,3,17.125,12,2,7.9375,11,9.25,6,7,7,8.875,3.875,5,5,0,15,4,17,4,2,0,14,4,0,3,2,6,2,34.875,1690.5625,1907.25
SD37,Delta,0,0,0,0,0,1,1,2,0,0,3.75,7,20,342.75,0,80.25,79.375,16,24,8,7,5.5,1,0,1,1,0,0,0,0,0,0,3.625,0,0,0,1,3,1.875,0,0.875,5.5,0,2,1,1,5,0,2,0,2,0,0,1,0,0,0,2,0,10.75,643.25,583
SD38,Richmond,0,0,0,0,0,2.875,0,0.5,1,0,3,1,7,32.5,30.875,0,130.125,11,21.125,2,6,3.875,7,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1.5,1,0.5,1,4,0,3,0,0,2,1,1,2,1.125,0,2,0,0,0,0,1,0,22.125,310.125,693.3125
SD39,Vancouver,3,2,4.125,0,1.125,3,9,9.25,4,0,13.0625,4,23,116.75,29.875,141.5,0,27,145.625,14.125,61.75,34.5625,34.25,5,1,11.125,1,3,0,13,0,1,7,0,2,2,5.125,5,4.125,10,3,3,0,3,3,3,5,2,3.125,0,2,0,6,2,0,0,0,7,1.5625,54.125,849.1875,1464
SD40,New Westminster,2,0,0,0,0,0,0,1,1,0,0.125,2,16,37.25,6,9.875,62.6875,0,81.5,3,26.25,9.75,5,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,3,0,0,3,0,0,0,6,0,2,0,1,0,0,0,0,2.125,0,7,295.5625,525.9375
SD41,Burnaby,0,0,2,2,0,0,4.25,9.375,0.875,0,7,8,8,89.25,17.75,27.125,243.1875,98.125,0,9.25,64.25,22.5,7,4,1,6.125,0,0,0,2,3,0,1,5.125,2.875,0,3,1.5,2,1,1,3,0,1.125,0,3,1,0,0,0,0,0,8,1,0,0,0,1.125,2,17.125,690.9375,1010.625
SD42,Maple Ridge - Pitt Meadows,0,0,1,0,0,1,0,5,1,3.625,5.875,18.125,24.25,61,11.125,19,33,14,50.375,0,215.25,12,1,2,1,3,0,0,0,0,0,1,6,1,0,2,1,2,0,1,2,1,0,0,2,1,7,0.875,21.25,2,0,0,2,1,0,0,0,0,0,10.875,547.625,455.875
SD43,Coquitlam,1,1,0,0,0,0,2,4,2.875,1,21.3125,20,18,60.875,10,31.6875,117,54.6875,213,97.125,0,41.1875,16,4,3,3,0,0,2,0,0,0,3,1,1,0.125,5,3,2,1,3,7,1,1,6.0625,0,9,0,12,0,3,0,0,1.125,0,0,0,3,0,19,806.0625,902
SD44,North Vancouver,0,0,1,0,0,1,5.25,1,0,0,0.1875,3,2.4375,14,3.875,9.9375,66.875,5,26.875,4,26,0,67.875,5.125,4,13,0,0,0,0,0,0,0,0,0,2,7,0,1,6.875,0.75,1,0,0,1.125,1,0,0,3,0,0,0,0,1,0,0,0,1.125,0,15.875,302.1875,441.6875
