DISTRICT,SCHOOL_YEAR,LAST_YEAR_ENROLMENT,ENTER_PUBLIC,LEAVE_PUBLIC,NET_INDEPENDENT,FORECAST_ENROLMENT
05,2013,5163.3,99.1,-48,51,5160
05,2014,5159.6,82.1,-83,-1,5171
05,2015,5170.9,132.4,-36,96,5339
05,2016,5338.9,91,-41.8,49,5414
05,2017,5414.3,88.3,-41,47,5449
05,2018,5448.9,124.4,-38.8,86,5544
06,2013,3000,17.6,-15,3,3000
06,2014,2999.9,21,-26.3,-5,3009
06,2015,3008.8,36.3,-13.6,23,3069
06,2016,3069.3,33,-19,14,3116
06,2017,3116.2,24.5,-9,16,3189
06,2018,3188.8,41.6,-15,27,3269
08,2013,4846.6,127,-83.4,44,4722
08,2014,4722.4,102.1,-114.1,-12,4682
08,2015,4682.3,111.8,-85.4,26,4635
08,2016,4635.1,121.5,-62.9,59,4767
08,2017,4766.8,131.2,-54.6,77,4773
08,2018,4772.9,132.9,-74.9,58,4682
10,2013,498.4,1,-3,-2,468
10,2014,468.4,5.1,-2,3,457
10,2015,457.4,3,-4.6,-2,440
10,2016,440.4,6,-7,-1,442
10,2017,442.1,3,0,3,435
10,2018,435.3,4.3,-8,-4,456
19,2013,1014.8,2,-10,-8,948
19,2014,948.3,2,-8,-6,927
19,2015,927.3,5,-7,-2,924
19,2016,923.9,2.5,-10.9,-8,955
19,2017,955.3,6.5,-6,1,970
19,2018,969.6,7,0,7,1033
20,2013,3889.8,35,-37.4,-2,3784
20,2014,3784.3,28.4,-60.3,-32,3700
20,2015,3700.4,57.4,-22.3,35,3675
20,2016,3675.3,39.4,-28.3,11,3839
20,2017,3839,40.6,-39,2,3945
20,2018,3944.6,42,-16.9,25,3935
22,2013,8000.4,81.6,-70,12,7841
22,2014,7840.7,63.4,-91.9,-29,8044
22,2015,8044,67.1,-46,21,8185
22,2016,8185.3,77.8,-65.3,13,8274
22,2017,8273.8,67.6,-60.1,8,8385
22,2018,8385.3,65.3,-74.3,-9,8418
23,2013,21431.2,262.8,-163.8,99,21441
23,2014,21440.6,251.2,-303.8,-53,21404
23,2015,21403.9,283.8,-196.8,87,21643
