ABBREV,DISTRICT,SCHOOL_YEAR,DEMOGRAPHICS,MIGRATION,RETENTION,TRANSITION,LAST_YEAR_ENROLMENT
SD99,Province,2013,-4379.4,2771.3,-2238.5,698.4,529451.3
SD99,Province,2014,-4029.5,4062.4,-2771.7,-1819.8,526303.2
SD99,Province,2015,-2826.3,6784.4,-826.1,1556.3,521744.6
SD99,Province,2016,-2054.4,7307.4,-439.3,868.8,526432.9
SD99,Province,2017,-635.7,6087,-1544.5,1062.3,532115.4
SD99,Province,2018,-803.3,5509.3,-200.3,1054.8,537084.4
SD05,Southeast Kootenay,2013,-22.8,-30.5,-1.5,51.1,5163.3
SD05,Southeast Kootenay,2014,-7,41.6,-22.5,-0.9,5159.6
SD05,Southeast Kootenay,2015,-11,51.1,31.5,96.4,5170.9
SD05,Southeast Kootenay,2016,-23,27,22.1,49.3,5338.9
SD05,Southeast Kootenay,2017,-69,44.6,11.8,47.3,5414.3
SD05,Southeast Kootenay,2018,-19.6,23,6.4,85.6,5448.9
SD06,Rocky Mountain,2013,23.4,-16.6,-9.5,2.6,3000
SD06,Rocky Mountain,2014,34.6,-16.5,-3.9,-5.3,2999.9
SD06,Rocky Mountain,2015,12.6,22.1,3.3,22.6,3008.8
SD06,Rocky Mountain,2016,-1.2,32.9,1.2,14,3069.3
SD06,Rocky Mountain,2017,41.6,38.5,-23,15.5,3116.2
SD06,Rocky Mountain,2018,36.8,60,-43.6,26.6,3188.8
SD08,Kootenay Lake,2013,-27,-57.5,-83.3,43.6,4846.6
SD08,Kootenay Lake,2014,16.7,-0.5,-44.3,-12,4722.4
SD08,Kootenay Lake,2015,-46.1,87.9,-115.3,26.4,4682.3
SD08,Kootenay Lake,2016,-16,123.8,-34.8,58.6,4635.1
SD08,Kootenay Lake,2017,-80.8,46.4,-36.1,76.6,4766.8
SD08,Kootenay Lake,2018,-79.1,13.6,-83,58,4772.9
SD10,Arrow Lakes,2013,-21.4,-7.1,0.4,-2,498.4
