Abbrev,District,SD05,SD06,SD08,SD10,SD19,SD20,SD22,SD23,SD27,SD28,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,SD41,SD42,SD43,SD44,SD45,SD46,SD47,SD48,SD49,SD50,SD51,SD52,SD53,SD54,SD57,SD58,SD59,SD60,SD61,SD62,SD63,SD64,SD67,SD68,SD69,SD70,SD71,SD72,SD73,SD74,SD75,SD78,SD79,SD81,SD82,SD83,SD84,SD85,SD87,SD91,SD92,SD93
SD05,Southeast Kootenay,0,17.375,16,0,0,1,6,7,1,2,2,0,6.125,2,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,2,3,4,4,1.25,2.125,0,1,2,0,0,5,1,0,0,1,5,2.875,0,1,0,4,0,0,4,0,0,0,8,2,1
SD06,Rocky Mountain,22,0,8,0,1,7,1,3.125,0,0,0,3.25,0,5,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0.75,0,0,2,1,3.125,0,4,0,1,1,1,0,3,0,0,0,6,0,1,5,0,0,0,2,0,0
SD08,Kootenay Lake,16.75,7.125,0,1.625,1,28.5,4.75,14,1,0,2,2,0,1.75,0,0,4.125,0,2,1,0,1,0,0,0,0,0,0,1,0,5.875,0,2,5.625,0,1.875,3.625,0,0.5,2.5,3,2,2,0,1.125,0,5.125,0,1.375,0,2.125,0,1,1,0,0,0,3.625,0,1
SD10,Arrow Lakes,3,0,3.125,0,4,0,2.75,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,1,0,0,0,0,2,0,0,0,0,2.25,0,0,0,1,0,0,0,0,0,0,0,0,0
SD19,Revelstoke,0,0,0,0,0,0,2,6.25,0,0,0,1,0,0,0,0,1.125,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,2,0,1,0,0,0,0,0,0,0,0,1,6.75,0,0,0,0,0,0,8,0,0,0,0,0,2
SD20,Kootenay - Columbia,6.5,3,43.25,2,0,0,4,3,0,0,3.125,0,0,0,1,2.875,3,0,0,1,0,1,0,0,0,0,0,0,4.875,0,0,0,1.875,1,0,0,0,1,0,0,3,0,2,1.125,7.5,1.625,3.25,0,2,0,0,0,1,0,0,1,0,4.375,0,2
SD22,Vernon,5,0,4.125,0,1.5,2,0,53.5,6,4,5.375,12.1875,1.625,5,1,0,9,0,4.25,0,2,5.25,3,0,0,1,0,5,0,0,3,4,3.125,9,5,1,4,5.125,5.375,0,7.125,6,0,1.125,1,1.25,12.75,0,2,0,0,0,1,49.375,0,0,0,3,0,0
SD23,Central Okanagan,3,1,12,1,2.125,17,56.625,0,3,3,11.375,11,10.5,23,2,0.5,9.25,1,9.375,5,4,1,1,1,1.125,3,0,0,16,0,11.125,1,23.125,17.375,3,3,8,16.125,4.125,1.125,47.625,10.25,4,3,4.75,1,30,3,1,7,5.25,0,6,30.875,1,0,0,6.25,0,3
SD27,Cariboo - Chilcotin,3,1,0,0,2,2,7,10,0,14,5,1,2,9,0,1,4,1,0.875,1,2.875,0,0,0,0,1,2,0,2,0,0,1,16,3,2,1,2,2,3,0,8,1,0,2,3,0,41,6.875,0.875,0,1,0,0,2,0,0,0,7,0,0
SD28,Quesnel,0,1.125,1,4,0,1,0.125,6.25,13,0,3,2,0,2,0,0,0,0,0,3.625,1,0,1,0,0,0,0,0,0,0,0,1,25.5,5.125,0,5,0,2,0,0,3,8,0,0,3.125,0,8.125,0,0,1,0,0,0,1,0,0,0,3,0,0
SD33,Chilliwack,0,1.375,0,1,0,0,2,10.0625,17.0938,4,0,78.0625,21.625,27.8125,3.75,3,13.0625,0.125,7,5.875,21.3125,0.1875,1,6.1563,2.125,3.1875,0,0,1,0,2,2.0625,13.0625,9,2,7.375,5,1,3,0,5.0625,4,1,2,2.25,2,15.125,1,19.75,57.4375,5,0,2,12.4375,0,1,0,6.25,0,3
SD34,Abbotsford,0,1,0,0,1,1,5,18.125,5,8,144.375,0,123.75,79.125,7,1,4,2,8,18.125,20,3,0,1,6,0,0,0,0,0,6,0,12.5,8.625,0,3.125,3,3.125,4.25,0,6,1,5,1,2,5,12,0,66.5,10,2,0,1,12,0,0,2.125,11.125,0,1
SD35,Langley,0,4.5,0,0,0,0,4,28,2,0,97.875,112.75,0,211.125,20,7,23,16,8,24.25,18,2.4375,2,2,6,4,0,0,4,0,1,0,8,13.875,2,2,2,6,0,2,5,14,2.75,5,9,1,14,1,26.75,9,6,0,1,2,1,0,0,11.625,1,3
SD36,Surrey,2,7,26.125,0,1,5,15,47,12,8,119.25,205.5,388.5625,0,342.75,32.5,116.75,37.25,89.25,61,60.875,14,7.1875,17,5,7,1,0,1,1,14,1,15.125,3.5,1,4,10,12,10.125,3,12,18.125,13.875,16,17,4,20.625,1,52.625,11,14,1,0,6,0,0,0,13.25,0,3
SD37,Delta,1,2,2,0,0,1,6,30,3,2,32.5,20.125,37.875,209,0,30.875,29.875,6,17.75,11.125,10,3.875,3,3,0,3,0,0,0,0,3,0,1,0.875,0,0,2,3,4.875,1,6,9,6,2.125,10,2,7.875,0,2,5,5.875,0,1,4,0,0,0,41.375,0,0
SD38,Richmond,3,0,3.75,0,1,1,3,4,3,0,12.0625,5,39.8125,196.125,80.25,0,141.5,9.875,27.125,19,31.6875,9.9375,16.125,0,0,3,0,0,0,2,0.75,0,7.25,1.5,0,0,6.8125,0,10.375,1,3,8.875,1,0,8.25,1,9.375,0,6,1,0,0,0,2,0,1,0,9.875,0,2
SD39,Vancouver,0,0,13.875,0.75,3,2,6,21,2.875,4,26.75,10,31.5,252.25,79.375,130.125,0,62.6875,243.1875,33,117,66.875,52.625,16,5,9,1,0,1,4,6.375,0,8,11,3,0,44.75,8,9.75,19.625,6.125,23.875,4,6,31.875,7.875,13.125,4,1,0,1,0,8.875,2,1,2,0,39.875,0,6
SD40,New Westminster,1,0,1.5,2,0,0,2,2,0,0,8,5.75,26,62.875,16,11,27,0,98.125,14,54.6875,5,6,1,0,0,3,0,0,2,1,0,0,3,0,0,2,6,6,11,2,4.25,1,0,109.75,3,4,0,11,2,2,0,1,0,1,0,0,4,0,3
SD41,Burnaby,0.875,0,4.5,0,0,0,1,13.75,1,2,14,13.125,65.875,205.625,24,21.125,145.625,81.5,0,50.375,213,26.875,14,2,0,6,0,1,0,0,8.375,0,3.75,0,1,0,11,2.875,2.25,1,3,12,2,3,3.875,2,10.375,0,7,3,3,0,3.875,4,1,3.125,0,1,2,8.875
SD42,Maple Ridge - Pitt Meadows,1.125,1,0,0,0,1,9,14,6,0,27.5,33.75,27.875,39.25,8,2,14.125,3,9.25,0,97.125,4,1,6,3,2,0,0,3,0,3.125,0,2,0,0,1,2,3.875,2,3,1,5.625,7,1,3,4,12,0,74.25,4,2,0,1,2,0,3,0,4,0,2
SD43,Coquitlam,0,1,2.25,0,0,1,3,26.125,5,2,40.375,15.125,104.5,91.625,7,6,61.75,26.25,64.25,215.25,0,26,9,6,5,8,0,1,0,1,8,0,6,5.125,0,4.125,11,4,4.125,3,7,12,2,0,7.125,3,5.125,2,52.75,7,4,0,5,2.875,0,0,0,6.25,0,12
SD44,North Vancouver,0,0,3,0,0,3,4,19,2,0,8.125,10,5.875,19.875,5.5,3.875,34.5625,9.75,22.5,12,41.1875,0,116.125,8.375,2,10.125,0,0,1,0,5.1875,0,2.5625,2.3125,0,0,13,2.75,0.25,2,3,12.75,4.25,0,13.875,5,6.75,1,3,0,7,0,0,2.8125,0,0,0,6.3125,0,6
SD45,West Vancouver,1,0,0,0,0,0,2,0,0,0,0,0,2,4,1,7,34.25,5,7,1,16,67.875,0,4,0,19,0,0,0,0,0,0,0,2,0,0,5,2,2,3,2,1.125,2,0.75,2,2,0.75,0,0,0,0,0,0,0,0,0,0,4.25,0,1
SD46,Sunshine Coast,3,2,2,0,0,1,1,0,0,4,5,2,3,13.1875,0,2,5,2,4,2,4,5.125,1,0,6.125,1.25,0,0,0,0,0,0,3.25,0,0,0,2.6875,6.125,1.125,1,6.125,3.125,2.125,0,9.5,2,4.125,0,1,1,0,0,0,0,0,1,0,3.75,0,2
SD47,Powell River,0,0,0,0,0,2,0,0.625,1,0,0,1,0,3,1,0,1,0,1,1,3,4,0,3,0,0,0,0,0,0,0,1,4,1,0,0,2,1,1,1,1,3.5,3,2,22.125,2,1,0,1,0,0,3,0,0,0,0,0,2,0,6
SD48,Sea to Sky,1,1,2,0,0,0,1.125,5.375,4,0,6.125,4,2,7,1,0,11.125,0,6.125,3,3,13,5,2,0,0,0,0,0,0,0,0,2,3.0625,0,1,1,0,3,1,2,6,7,7,11.0625,2,8,4.125,2,0,2,0,0,2.125,0,0,0,3,0,4
SD49,Central Coast,0,2,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
SD50,Haida Gwaii - Queen Charlotte,1,0,0,0,0,0,0,3,3,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2.375,0,4,0,1.25,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,5,0,0,0,0,1,0,0
SD51,Boundary,1,0,3,3,0,6,1.875,7.625,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0.875,0,0,0,0,1,0,0,0,2,0,0
SD52,Prince Rupert,0,0.875,0,0,0,1,0,6,0,1,0,0,0,2,0,0,13,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,15,0,0,1,0,0,2,0,0,2,1,1,5,2,1,0,3,0,2,0,13.75,0,0,0,0,0.5,10,0
SD53,Okanagan Similkameen,0,0,2,0,0,1,3,15,1,0,5,4,2,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,2,4,4,0,0,3,0,0,44,1,1,1,1,0,9.25,0,0,0,2,0,0,3,0,0,0,0,0,0
SD54,Bulkley Valley,1,2,1,0,0,1,4.125,4,5,0,1,5,2,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,11,0,0,4,2,1,2,2,1,1,4,0,1,0,5,0,0,0,1,0,22,2,0,0,0,3,0,0
SD57,Prince George,4,0,3,2,0,3,7,18,17.25,9,5,3,12,17.125,3.625,0,7,2,1,6,3,0,0,0,4,1,0,4,2,8,4.125,10.75,0,3,6,11,2,4.125,1,0,2,7.125,0,1,7,8.125,44.125,5,2,7,9,0,31.375,10.375,0,2,0,86.5,2,2
SD58,Nicola - Similkameen,0,1,1,0,1,0.875,5,6,3,2,4,0,0,12,0,0,0,0,5.125,1,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0.125,0.875,1.125,2,0,0,11,3,0,0,0,1,26.625,5,0,0,0,1,0,4.25,0,0,0,5,0,1
SD59,Peace River South,2,3,0,0,0,2,8.125,4,3,1.125,4,3.125,3,2,0,0,2,0,2.875,0,1,0,0,1,0,1,0,1,0,0,0,0,15.125,1,0,50.75,1,1,1,0,5,8,0,0,2.625,0,6.125,2,0,1,1.875,0,1,6,0,1,0,5.125,0,0
SD60,Peace River North,0,3.125,1,0,4,1,9.75,27.3125,4,8,6.9375,2,3.25,7.9375,0,0,2,0,0,2,0.125,2,0,0,0,2.0625,0,0,0,0,2,3,23.0625,2,13.625,0,5.0625,1,1,1,3.75,14.0625,1,3.125,2,5.25,10.125,4.125,0,0,3,6,6.0625,12.1875,0,2,1,3,0,0
SD61,Greater Victoria,2.125,0,0,0,0,0,1,3.125,1.125,0,1,6.25,8,11,1,5,5.125,0,3,1,5,7,0,0,0,3,0,0,0,1,0,0,3,2,0,1,0,211.4375,258.2189,5.125,6.25,18.3125,8,15,23.625,7.5625,4.125,1,1.875,4,39.25,0,3,2,0,6,0,5.625,0,8
SD62,Sooke,1,1.5,0,0,0,0,0,3,3,0,3,0.5,1.5,9.25,3,1.5,5,0,1.5,2,3,0,0,0.5,2,1,0,0,3,0,2.125,0,0,0,0,6,76.875,0,42.375,1.5,1,5.75,10,5.75,9,12,1.5,2,1,0,36.875,0,0,1.75,0,0,0,0,2,1
SD63,Saanich,1,0,1,0,0,2,4,6,0,0,0,5,2,6,1.875,1,4.125,0,2,0,2,1,3,0,1,0,0,0,0,1,0,0,2,0,1,3,110.875,37.375,0,7,2,6,1,3.375,9.125,1,0.125,0,0,0,19.875,0,0,0,0,0,0,3,0,0
SD64,Gulf Islands,0,0,1.75,0,0,0,0,0,1.25,0,2.125,0,1,7,0,0.5,10,3,1,1,1,6.875,2.375,0,3,0,0,0,0,0,0,0,0,0,0,0,10.125,5,5.125,0,0,5,3,0,13.25,4,0,0,0,0,10.25,0,0,0,0,0,0,5.125,0,5
SD67,Okanagan Skaha,0,0,4,0,0,1,5,52,2,2,4.875,1,2,7,0.875,1,3,1,1,2,3,0.75,0,0,0.75,1,0,0,1,2,25.875,1,9.75,15.875,2.125,1,6.875,2.75,0,2,0,0,3,1.5,2,2,9.625,2.75,4,0,4,0,0.875,3.625,0,0,0,6.875,0,1
SD68,Nanaimo - Ladysmith,7.25,1,0,0,2,2,2,11.625,1,1,8,2,3.875,8.875,5.5,4,3,3,3,1,7,1,0,0,3.25,1,3.125,0,0,5.75,2,1,7,1.125,1,7,7,7,5.375,4.5,4.875,0,38.375,12.375,36.625,16.125,4,0,2,0,43.375,0,1.875,1,32,9,0,6.875,0,4
SD69,Qualicum,0,0,0,0,0,0,0,4,0,0,2,1,2,3.875,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,2,3,0,1,0,0,2,5.625,3,1,0,0,49.125,0,15.125,14.75,6.125,3,0,2,0,8,0,0,2,0,3,0,0,0,1
SD70,Alberni,0,4,0,0,0,1,1,0,0,1,0,2,1,5,2,3,3,0,1.125,0,1,0,0,0,0,3,0,0,0,0,0,0,3,1,0,4,7,3,1.125,1,2,21,11,0,11.5,13,2,0,0,0,0,0,1,1,2,0,0,0,0,5
SD71,Comox Valley,1,0,3,0,0,1,0,4,0,1,1.125,0,1,5,1,0,3,3,0,2,6.0625,1.125,0,0.5,36.5,9.0625,2,1,0,0,1.0625,0,0,0,0,1.0625,11.875,10.25,8,0,2,26.25,9.125,8,0,31.125,5,0,1,0,3,1,0,0,4,8.5625,0,2,0,6
SD72,Campbell River,3,0,0,0,0,0,0,4,0,0,1,1,0,0,1,0,3,0,3,1,0,1,1,2,7.875,0,0,0,0,0,0,0,3,0,0,2,4,18,1.375,2,2,31.125,1,11.875,33.125,0,5,0,0,0,6,0,0,0,4,8,0,1,0,3
SD73,Kamloops - Thompson,3,5,2,0,7,2,22,23.375,26,9,16.5,13.125,10,15,5,2,5,0,1,7,9,0,1,2,3,1,0,0,1,0,0,6,20.125,23.5,4,3,8,2.5,3.25,2,5.875,9,1,1,7,2,0,14,6,2,1,0,7,25.25,0,0,0,16.5,0,0
SD74,Gold Trail,0,1,0,0,0,0,0,0,1,1,2,0,1,4,0,1,2,0,0,0.875,0,0,0,1,0,2,0,0,0,0,2,0,0,7,0,1,0,1,0,0,5,0,3,0,0,0,20.25,0,0,0,0,1,0,1,0,0,0,5,0,0
SD75,Mission Public,0,0,0,0,0,0,1,7.125,8,2,34.625,71.375,11,17,2,1,3.125,6,0,21.25,12,3,2,2.125,0,0,0,0,2,0,15,0,2,0,1,4.125,0,1,1,1,6.875,3,1,4,3,1,6.875,0,0,9,1,3,1,8,1,0,0,4,0,1
SD78,Fraser - Cascade,0,2,0,0,0,0,2,0,10,0,52.25,11,0,4,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,1,1,1.125,0,4,0,4,0,0,0,0,5,0,1,0,4,0,0
SD79,Cowichan Valley,1,0,0,0,0,0,1,7,0,0,1,2,0,2,2,1.125,2,2,0,0,3,0,0,1,2.125,3,0,0,0,1,0,0,2,0,0,3.125,22,39.375,27.25,9,1,44.375,5.125,2,9.125,1.5,2,0,0,0,0,0,3,0,0,3,0,5,0,0
